property name ,Room Price (in BDT or any other currency),review_count,Comment about room
61. The Vijitt Resort Phuket," 45,985","1,733","genuine hospitality… airport transfer was arranged and on time / checkin was professional,"
62. Anantara Chiang Mai Resort," 33,831","3,417",My sister and I enjoyed our stay very much
63. Samujana Villas," 86,644",207,"close to all sights and very safe. Our hosts and chefs (Rada and Kai) are fantastic, they looked after us in every way with food, suggestions for things to do..."
"64. The Ritz-Carlton, Koh Samui"," 33,984",772,with one of the most comfortable mattresses I’ve ever slept on!); to the scrumptious breakfast buffet spread each morning (highly recommend the bakery items — the...
65. Kupu Kupu Phangan Beach Villas and Spa by l'Occitane - SHA Plus," 31,172","1,627",The view and the food were amazing and the pool Vila was very
66. The Haven Khao Lak," 16,612","1,843",... of every request with a smile on his face to the restaurant staff to the amazing spa ladies (ask for Candy!) to the great housekeeping
67. Anantara Lawana Koh Samui Resort," 19,337","2,964",... take care from the first day we came until the last day we back to Bangkok she tried
"68. Chanalai Romantica Resort, Kata Beach, Phuket"," 13,571",695,Everything you need for a comfortable and high-quality
69. Anantara Riverside Bangkok Resort," 16,267","9,835","Anantara riverside is amazing, true oriental hotel, brilliant staff, everything at the hotel is just perfect,"
70. Apsara Beachfront Resort and Villa," 10,354","3,379",A lovely surprise of a bottle of fizz greeted us too
71. Santhiya Tree Koh Chang Resort," 13,601","1,549","Everything was perfect,"
72. Varivana Resort Koh Phangan," 14,029",154,"Wonderful place to stay, chill and enjoy"
73. Hilton Garden Inn Phuket Bang Tao," 9,155",193,"My stay at this newly opened hotel was very good, the team was super attentive,"
"74. The Chill Resort & Spa, Koh Chang"," 18,191","1,058",the patio.
75. Hansar Samui Resort," 17,161","2,976",Pros: a beachfront 4 or 5-star
76. Veranda Resort & Villas Hua Hin Cha Am," 21,471","1,129",wonderful moment here.
77. Mora Boutique Hotel," 6,080",203,We stayed
78. Amatara Welleisure Resort," 18,515","1,705",chose the big villas with private pool and sea ocean view witch was fantastic and
79. Avani Pattaya Resort," 14,820","2,527",THE HOTEL IS AMAZING WITH CONNECTIVITY TO BEACH AND THE BREAKFAST
80. Sunprime Kamala Beach," 8,805","1,923",service every day and all the communal areas were kept clean and tidy.
81. Avani Khon Kaen Hotel & Convention Centre," 7,713",622,helpfull staff.
82. Grand Mercure Khao Lak Bangsak," 8,300",163,"Pros Hotel is gorgeous and the river flowing through the middle is a nice touch We loved our room, a huge swim"
83. Hotel Clover Patong Phuket," 13,291",669,"Excellent Hotel, very nice staff, excellent"
84. The Riverie by Katathani," 8,690",326,Spacious
85. Bandara Phuket Beach Resort," 5,280",643,location on a quiet beach.
86. Movenpick Siam Na Jomtien Pattaya," 17,721","1,453",T55
87. Pai Village Boutique Resort & Farm," 5,659",585,"Very nice place,"
88. Mook Lamai Resort and Spa," 9,269",198,with all necessary comforts (including AC in every room).
89. Hotel Khao Sok & Spa," 3,958",319,"definitely come back  here! the location in the heart of the vegetation, the support for all our activities (custom and private, and the price is the same everywhere in…"
90. Robinson Khao Lak," 6,751",908,"My First time to stay here, nice room ""The bed and pillows are very soft"" BIG thank to Amp to take us since booking , feel wram welcome"
91. V Villas Hua Hin - MGallery," 78,194",466,I heard about this hotel before i went there that
92. Park Hyatt Bangkok - SHA Plus Certified," 45,258","1,762",in-room high tea service… from the cozy and lively ambience of the rooftop bar to the great breakfast experience… my staycation here becomes one of the most memorable...
93. Royal Wing Suites & Spa," 27,149",602,"Very nice place, spectacular"
94. Rocky's Boutique Resort - Veranda Collection Samui," 112,305","2,603",- Great staff - Great location - Great
95. Hyatt Regency Koh Samui," 35,393",458,Staff were incredible and caring Beach
96. Bangkok Marriott Hotel Sukhumvit," 17,841","4,456",Room: Medium size room / Sleep well / Good
97. Shangri-La Chiang Mai," 15,065","2,822",Check-in
98. Chatrium Residence Sathon Bangkok," 7,931","2,576",Room: we stayed
99. Rosewood Bangkok," 43,025",258,The Good:
100. Ratilanna Riverside Spa Resort Chiang Mai," 18,747",921,"of the river from the balcony and a more comprehensive view of the restaurant roof but it was definitely deluxe with many amenities, a large, comfortable bed, lots..."
"101. Le Meridien Suvarnabhumi, Bangkok Golf Resort & Spa"," 17,538",785,We splurged on a 1 bedroom suite (100sqm)
"102. Le Meridien Chiang Rai Resort, Thailand"," 10,511","2,904","I was really impressed the arrival service, front desk team provided great welcome experience and very professional check in process, hotel room is very good (I was upgraded"
103. akyra Manor Chiang Mai," 13,187","1,206",... outdoor bath tub (its honestly the biggest bath tub I’ve ever been in and it
104. 137 Pillars Suites & Residences Bangkok," 19,288",512,"fridge, separate dressing area, fab bathroom with a massive standalone tub (and a telly beside it), lovely balcony with well thought-out furniture and fittings."
105. Samui Paradise Chaweng Beach Resort & Spa," 10,121","1,251",Mano was very helpful and kind and provided
106. Centra by Centara Maris Resort Jomtien," 17,414","1,246","staff is good manner , helpful and very friendly /we stay in the /family residence room ,which"
107. Avani+ Hua Hin Resort," 31,407",940,I would like to thank you Khun Mond Pornpon for guide us every place in hotel and Khun NAPATHARA CHOOTAWEE (Reservation Officer)
108. Moracea By Khao Lak Resort," 7,433","2,422",Pros: - Good holiday vibes - Good and clean room - Good beach - Good subset view - Good pools - Good service from friendly
109. Koh Yao Yai Village," 7,819","1,258","(robes, slippers, flip flops, safe, beach bag, beach towels, snacks and teas)."
"110. Khum Phaya Resort & Spa, Centara Boutique Collection"," 5,809","1,532",
"111. Chanalai Flora Resort, Kata Beach, Phuket"," 5,990","1,310",Is nice hotel and good stuff
112. Nakamanda Resort & Spa," 13,695","1,545","beautiful decoration.
The room was very clean with lot of space.
In a quite area but still close enough to everything.
The staff was friendly and ready to answer all..."
113. Kanda Residences Pool Villas," 21,615",383,visited many times of the years. Of course the Covid period had been tough as for everyone but Kanda keeps going. The pool villas are still the largest and most...
114. Panviman Chiang Mai Spa Resort," 7,026",880,Both trips
115. Royal Cliff Grand Hotel," 11,633","1,338",A big thank you
116. The Siam Residence Boutique Resort," 9,648",222,"very nice tropical private beach. The bungalows are spacious and very comfortable with an exceptional big bed, 2.60 mrt by 2.00 mrt. .the service is very personal…"
117. Pullman Khao Lak Resort," 7,302",297,"We had our breakfast table beautifully decorated with roses, during"
118. Stay Wellbeing & Lifestyle Resort," 9,329",367,Nice decoration and helpful staffs The thing we love are - There are 3 beautiful and clean pools - Large and
119. Lub d Koh Samui Chaweng Beach," 4,786",349,Well… To start from check in : super nice staff will wait with big smile Recommend
"120. Mandarin Oriental, Bangkok"," 190,039","5,526","From check-in to check-out, with fantastic, convenient rooms, absolutely"
121. Anantara Golden Triangle Elephant Camp & Resort," 132,371","1,438","jungle, the Mekong river and three countries."
122. Bangkok Marriott Hotel The Surawongse," 43,389","1,574","Also, many thanks to the Housekeeping Team that decorated"
123. Pimann Buri Pool Villas Ao Nang Krabi," 21,522",270,"to be upgraded when we arrived, amazing pool, got a lift into Ao Nang every evening as it is about 60 minute walk into Ao Nang ( free of charge), breakfast OK."
124. Ramada Resort by Wyndham Khao Lak," 24,588","2,482","maintained, there is a private beach area which is just outside of the hotel. The Pool area is very clean and was very chilled. 

Outside of the hotel, it is close to lots…"
125. Siam Kempinski Hotel Bangkok," 51,468","4,058","... even during the afternoon - Nice staff Always smiling - Excellent location Centrally located, metro and commercial center at 5 minutes by foot - Tasty food Thai"
126. Avista Hideaway Phuket Patong - MGallery Hotel Collection," 16,805","3,463","... boy"", nice room, three nice pools (but need to add little bit more staff to work around"
"127. Casa De Mar, Koh Samui"," 10,618","1,362",We were also able to upgrade our room for the night to the villa with the pool and sea
"128. The Athenee Hotel, A Luxury Collection Hotel, Bangkok"," 27,455","7,084",The hotel was faultless Staff were amazing just could not do enough to help you Lots of different restaurants of excellent
129. Holiday Inn Resort Phuket," 21,421","4,975","... , huge king room , rainshower and direct access to the private swimming lagoon , as soon as i arrived , i felt i was on holidays"
130. Melati Beach Resort & Spa," 15,549","1,901","Beautiful gardens & ponds, spacious & well kept poolside & private beach area, spotlessly clean & discreet rooms"
131. Hyatt Regency Bangkok Sukhumvit," 33,406",917,"... had assign was on high floor by Khun Ann, Front Office team given to us with an amazing"
132. Waldorf Astoria Bangkok," 38,194",640,We were checked in in a friendly manner and brought up to our King Deluxe
133. Novotel Phuket Resort," 9,120","4,989",staff thank you Ms Nicky halp me on checkout smoothly breakfast very delicious location near beach wonderful view from the room next vacation i wish to stay long ti...
134. Kimpton Maa-Lai Bangkok," 28,340",512,"This was first time at Kimpton Maa-Lai Bangkok Hotel,We received a wonderful welcome from Khun Grape and then the first impression when we"
135. The Marina Phuket Hotel," 5,171","2,934","rooftop pool was spectacular with amazing views over Patong Bay and the sea, especially stunning at sunset with great cocktail promotions!"
136. U Inchantree Kanchanaburi," 8,121","1,665","Very good hotel good location ,good"
137. The Tarna Align Resort," 11,593",839,view of the sunset and the island.
138. U Nimman Chiang Mai," 9,436",744,... of department store food and cafe very comfortable to get anything Good service from Staff Comforable Cool design and completed facility Bed and Sofa BF
139. Bambuh Boutique Homestay," 4,529",191,a great ambience. The owners were really nice and helpt us with al our questions. A great place to relax and have a good night sleep after a mount travelling…
140. Phayamas Private Beach Resort," 5,275",102,
141. Sareeraya Villas & Suites," 15,742","1,148",bathroom.
142. Anavana Beach Resort," 16,781","1,166","delicious while the atmosphere couldn’t be any better….; directly at the beach, beautiful view, Beautiful lightening. Very romantic for Valentine’s Day.  we will be back…"
143. Anana Ecological Resort Krabi," 7,499",510,"Best Hotel To Stay in Krabi! Wonderful Team, Fresh, Gorgeous Food,"
"144. Kantary Bay Hotel, Phuket"," 5,069","1,912","I had a great experience with the Kantary Bay Hotel, staff was incredibly responsive and helpful,"
145. Sea Seeker Krabi Resort," 7,422","1,038","Hotel ambiance is very nice , they maintain water quality in swimming"
146. The Yama Hotel Phuket," 4,812","1,665",separate large bathroom with rainfall shower and a deep soaking tub with a separate toilet.
147. Andalay Beach Resort," 12,422",154,"We stayed in the Anda House (not a bungalow),"
148. U Khao Yai," 10,167",571,Beautiful
149. Annika Koh Chang : By The Griffin," 2,811",805,a shuttle bus to take you to a private beach every day though we used it only once..  Its a lovely green hotel with well maintained gardens and a really nice pool...
150. BYD Lofts Boutique Hotel & Serviced Apartments," 14,609","2,605","sanitized … the staff gone above and beyond to made me feel comfortable and safe.. so this was a big plus… Despite all the challenges , the hotel managed to keep th..."
151. The Chiang Mai Riverside," 19,948",343,"What can we say about our stay in this establishment ... absolutely everything was perfect, from the airport transfer to the hotel, the staff absolutely charming,"
152. Alanta Villa," 27,871",194,"much outdoor space. The pool was perfect. Loved the outdoor shower and toilet. Rooms were comfortable and very clean.
The staff were fantastic, they went above and..."
153. Royal Muang Samui Villas," 29,846","1,180",with a sizable bathroom.
154. Six Senses Samui," 59,818","1,154",The villa
155. Na Nirand Romantic Boutique Resort," 65,139","1,142","We were wowed from the start - from the amazing food, welcoming staff, beautiful"
156. JW Marriott Hotel Bangkok," 83,966","4,904","... one of the best 5 stars hotel in Thailand The first and the most “Delight Welcome” from Night manager, khun Simon, he friendly"
157. Grand Mercure Phuket Patong," 14,347","3,067",It was
"158. Tango Luxe Beach Villa , Koh Samui"," 19,662",542,I’m in love with this place ! The palms! The food! The drinks! The company! The staff! Omg! So perfect! Thank you so much for your hospitality! I’m coming back!
159. Grand Hyatt Erawan Bangkok," 22,867","5,847","... location close to one of the most impressive shopping centers I'd ever seen with a huge Apple store, courteous, cheerful and helpful staff, impeccable attention"
160. Hilton Sukhumvit Bangkok," 15,102","3,229",-Ample parking space available -Staffs are poise and very helpful provided us with great service
"161. InterContinental Hua Hin Resort, an IHG Hotel"," 21,562","2,646","It was great staying in this gorgeous hotel...very impressed with the service, the staff are very accommodating making sure everything is provided"
162. Hilton Pattaya," 31,920","3,372",One of the Best Pattaya hotel!!
163. Baan Samui Resort," 6,385","1,548","Great service all around, pool was beaut and right beside the sea so you have the option of both, reasonably priced"
164. Movenpick Myth Hotel Patong Phuket," 14,938",391,It has also helped greatly
165. Hard Rock Hotel Pattaya," 17,700","3,854","Great location, friendly service and staff, delicious breakfast buffet that changed a little"
166. Lanta Pearl Beach Resort," 2,705",636,terrace and hammock.
167. Radisson Blu Plaza Bangkok," 12,752","3,105",Excellent staff at front desk Super facilities all round Good location in centre of Bangkok to start your sightseeing from
"168. Hotel Indigo Phuket Patong, an IHG Hotel"," 12,035",633,I love
169. Movenpick Hotel Sukhumvit 15 Bangkok," 9,599","2,925",Amazing staying in
170. Shiva Samui," 17,241",805,"villas in March 2020 and had the most amazing week. The setting is so peaceful, the team that takes care of you are wonderful, the food was delicious, accommodation…"
171. Navatara Phuket Resort," 4,002",808,"Great location, cute pool, smiling staff,"
"172. Katiliya Mountain Resort & Spa, Chiang Rai"," 10,721",377,We were taken to our suite on a golf cart where we were helped
173. Royal Cliff Beach Terrace," 11,084",422,Beach hotel building.
174. Pai Tan Villas," 7,757",235,"absolutely clean, and a great breakfast."
175. Khaosok Boutique Camps," 6,803",734,"impossible to find how turn off bathroom lights, so all rooms  have turn on the bathroom light all night long .
    Wifi ok . Staff very nice and friendly.
I enjoy..."
176. Summer Luxury Beach Resort & Spa," 10,361",331,"we had a magnificent time. This place is so cool, very relaxed and the staff is so nice and helpful. The rooms are very large and well decorated. The restaurant is..."
"177. Holiday Inn Pattaya, an IHG Hotel"," 13,445","2,076",A short family vacation made sweeter by the accommodating
178. Royal Cliff Beach Hotel," 12,375","1,759",beautiful place with varied offerings from across the sub-continent (though they do seem to merge into each other in the kitchen).
179. Seabed Grand Hotel Phuket," 3,986",82,"we had good time during stay ,staff extremly friendly Sia ,Tong was the best would love to"
180. Paradise Island Estate," 5,142",210,"Alll of us have had a remarkable experience. Private chef un villa diner was first class. Villa was luxurious and top notch, quiet and within easy reach of all..."
181. Lotus Samui," 45,836",265,"didn’t want to leave. 

We were 3 couples in this stunning 5 bedroom beach front villa.

The views were breathtaking, service outstanding, and our favourite question..."
182. Avani+ Riverside Bangkok Hotel," 69,562","4,516","From the awesome Chao Phraya river view, memorable free shuttle boat rides, pleasant & attentive staff (10/10),"
"183. Vana Belle, a Luxury Collection Resort, Koh Samui"," 60,778","1,892",Excellent service Exceptional staff Attentive in every way The cooking class was fun and
"184. Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok"," 28,650","4,928","Also, many thanks to the Butler service team that always provide excellent service for us during our stay, the housekeeper"
185. The Sukhothai Bangkok," 20,518","3,950",Amazing service; all staff were extremely caring and attentive
186. Chatrium Hotel Riverside Bangkok," 17,004","11,652","The best thing of this very modern and well equipped hotel was for sure the stunning view from my room over Chao Phraya river and skyscrapers around, both at night and"
187. Amari Hua Hin," 28,214","2,398",Everything is very good for me : location
188. Beluga Boutique Hotel," 7,548",422,"manager and nine and wynn deserve special mention 
The location is relaxed and quiet at the end of lamai beach but with easy access to beach bars and massage..."
189. Nora Buri Resort & Spa," 13,713","1,892",We stayed in a hillside villa with a private pool that was nothing short of magical -- beautiful views
190. Dusit Thani Hua Hin," 21,200","3,275","Recently renovated early this year, well"
191. Prana Resort Nandana," 10,032","1,177","We thoroughly enjoyed our stay at Prana, the hotel is beautiful,"
192. Maitria Mode Sukhumvit 15 Bangkok - A Chatrium Collection," 8,501","2,439",lovely food in the restaurant.
193. Grand Mercure Bangkok Asoke Residence," 12,477",809,"equipped kitchen for Thailand, a living room with dining and sitting room facilities and a nice balcony with city view."
194. Wyndham Hua Hin Pranburi Resort & Villas," 8,758","2,165","condition , perfect bathroom and outdoor shower , friendly staff , good service , the hotel is very quiet , it was my second time to visit this hotel and will come a..."
195. Courtyard by Marriott Bangkok," 15,124","3,871",The staff: Better
196. Skyview Resort Phuket Patong Beach," 8,774",185,The place is quiet and peaceful with an amazing swimming pool and everything thing was
197. The Mooring Resort," 12,601",61,The beachfront relaxed
198. Elixir Resort Koh Yao Yai," 6,251",743,It’s was amazing for we choose to countdown here this year and I’m really like here it’s very good to chilling and relaxing and was beautiful weather to swimming and watching
199. Khaolak Bhandari Resort and Spa," 4,033","1,129","outdoor jacuzzi bath, which we didn't use as it was overlooked by a path at the side."
200. Pura Vida Pai Resort," 3,638",358,"is the most beautiful and pleasant place.
Venda and the staff were lovely, took care of all our needs and gave a family feeling. We warmly and lovingly recommend…"
201. Longtail Beach Resort," 4,406",472,What a wonderful place! You couldn't ask for a better location-right on an utter paradise of a beach and the service (especially the lovely Ona) was fantastic. The...
202. Zenseana Resort and Spa," 6,134",341,"toothbrushes, bath sponge, sun terrace, huge shaded parking lot, a plate of fresh fruit as a gift on the first day,"
203. Eleven Hotel Bangkok," 6,970",177,Excellent hotel for quarentine staff
204. Le Patta," 6,907",728,staff at the hotel were lovely and very helpful. Ahead of our trip I contacted them to ask for recommendations on hiring a car and driver for the day. They came…
205. Chatrium Grand Bangkok," 24,831",80,"appointed, with a massive bed, and double bathroom, along with spectacular views over the city."
"206. Holiday Inn Resort Krabi Ao Nang Beach, an IHG Hotel"," 6,004",559,This hotel was a breath of fresh
207. Pai My Guest Resort," 2,698",203,
208. Oakwood Hotel and Residence Sriracha," 8,346",535,Oakwood hotel and residence Sriracha good choice to stay
209. Somerset Pattaya," 14,390",85,"New hotel and very nice ,Good location ,warm welcome for staff , Staff name Ms.USA was very and beautiful"
210. Trisara," 408,688","1,123","We love the pool in the villa so much the size and depth are practical and the view was beautiful,"
211. The Peninsula Bangkok," 56,640","5,695",We booked through American Express platinum and were therefor given
212. Riva Surya Bangkok," 18,754","2,729",- Super Clean - Super Friendly - Great Restaurant - Incredible Location -
213. Sibaja Palms Sunset Beach Resort," 18,691",376,from the sun terrace.
214. Mangosteen Ayurveda & Wellness Resort," 21,787","1,250",Fresh
215. Wonderland Healing Center," 14,650",504,
216. Baan Yin Dee Boutique Resort," 14,656","1,324","Excellent value for money, I loved so much my stay in Baan Yin Dee hotel that I decided to stay 5 more"
217. Four Seasons Hotel Bangkok at Chao Phraya River," 122,894",140,"Four Seasons, beautiful decor and furnishings, comfortable bed, and an impressive and inviting in-room bar [with ice ready] which invited us to partake more than once!"
218. Sindhorn Kempinski Hotel Bangkok," 45,897",392,Amazing hotel all was
219. Hyatt Place Bangkok Sukhumvit," 10,730",907,"Excellent location near to BTS station and EmQuartier shopping mall and restaurants, friendly and"
220. Boujis Boutique Resort," 8,304",281,We stayed in a
221. Impiana Resort Patong Phuket," 13,465","2,428",
222. Palm Coco Mantra," 7,810",406,"were amazing and above and beyond with their helpfulness. We loved the room, it had a fantastic balcony overlooking the sea. There was a beach but we didn't get a..."
223. Centara Grand at Central Plaza Ladprao Bangkok," 12,553","3,095",Centara Grand at Central Plaza Lad Prao has 39 years legendary with good
224. The Chiang Mai Old Town," 11,153",243,"This is a good five stars hotel in chiang mai with a good facility and high standard, staffs are warm welcome and"
225. Le Meridien Bangkok," 15,689","4,685",- Excellent Breakfast and staff service was very good - Great Location & near SkyTrain Sala Deang station - Very close to the Night Market - Close to China
226. Le Meridien Chiang Mai," 13,671","4,466","thank you to Khun Cartoon and khun Sandy for very kind and impressive service make us extend to stay more , and food drink ,lounge ,happy hour and every staff so good..."
227. Art Mai Gallery Hotel," 7,551",697,Answering all our queries via multiple phone calls before our trip by the staff especially
228. New Star Beach Resort," 12,398",866,"everything was great, the room was incredible, so large to say we only booked a double deluxe was not expecting what we got!! and it was always kept clean. The breakfast…"
229. Patong Mansion Hotel," 2,197","1,091",away smile swimming on top i come with family Arp 3 night near have 7/11 open 24/hr i pay very cheap price if some one want cheap and a learn can stay At Patong man...
230. La Petite Salil Sukhumvit 11," 4,143","2,844",Early checking in and comfortable
"231. Holiday Inn Bangkok Sukhumvit, an IHG hotel"," 10,052","1,851","excellent CoVid protocols Khun Fusi, Check in staff Khun Toei, Khun Ploy and Khun Chris especially helpful I’d recommend this hotel to anybody"
"232. The Westin Grande Sukhumvit, Bangkok"," 15,875","3,478","A perfect location, a"
"233. Four Points By Sheraton Bangkok, Sukhumvit 15"," 9,802","2,340",Excellent
234. Nak Nakara," 4,075","1,429",It's
235. Lub d Phuket Patong," 3,056","1,016",thanks Pop Au Fanny at the bar who is a sunshine every hour of everyday The pool is very nice and the hôtel is close to the beach The mood is really nice there
236. Sunset Beach Resort," 3,511","2,250",
237. Legacy Suites Hotel Sukhumvit," 8,009","2,050",Novotel property in a few months. I've been staying at the Legacy Suites for the past 10 years and ALWAYS had positive experiencs. Nut at Reception is a standout...
238. Kantary Beach Hotel Villas & Suites Khao Lak," 4,908","1,521",lovely villa next to the beach. I would like to recommend this hotel for the best hospitality. Special thanks to Patchara who made our holidays unforgettable!
239. Shama Lakeview Asoke Bangkok," 7,712","1,781",The panoramic room is so amazing with a good
240. The Erawan Koh Chang," 6,566",219,The staff were
241. Garrya Tongsai Bay Samui," 24,990","2,433","Wow, perfect perfect hotel, excellent breakfast, all the staff including the hotel manager are kind, pleasant"
242. Movenpick Asara Resort & Spa Hua Hin," 25,169",786,"More importantly, we were so grateful to the hotel team for"
243. Maitria Hotel Sukhumvit 18 Bangkok - A Chatrium Collection," 9,066","1,128","Amazing experience, great staff, Chan was very friendly and kind , staff very helpful, beautiful rooms, good view, very"
244. The St. Regis Bangkok," 54,717","3,175","The corner suite was elegantly appointed, large, with two bathrooms, a large"
245. Sofitel Bangkok Sukhumvit," 25,055","5,109","Welcoming staff, warm hospitality,"
246. Hansar Bangkok Hotel," 25,221","3,288","We immediately feel at home with all the nice hospitality from the front desk, all the"
247. Capella Bangkok," 89,719",404,4. Loved the view
248. DoubleTree By Hilton Sukhumvit Bangkok," 11,650","2,256",Staff were friendly and
249. Novotel Bangkok Sukhumvit 20," 16,406","1,743",The hotel is good for stay convenient to
250. Novotel Phuket Vintage Park," 8,811","4,244","The hotel is clean, has a nice swimming pool We had a very"
251. Oriental Residence Bangkok," 19,025","3,530","that Raffa and ugee at the front desk took care of all needs, even simple requirements like wrapping paper."
252. Amata Patong," 12,389","1,781","staff are friendly , front desk K. Fon ,K Mai K. Jame , Khun wao khun Rung , khun Don, K. Pk khun da , I highly recommend to stay here And I will come back again B..."
253. SAii Koh Samui Choengmon," 15,513",559,beds.
254. SO/ BANGKOK," 19,369","8,002",After epidemic this first trip for me Nice trip to stay over here
255. Saree Samui," 12,309",998,"bathroom, little garden and seating area."
256. W Bangkok," 19,675","3,957",Bringing in our son to stay in the same room (Marvelous suite) is so nice with plenty
257. Mercure Bangkok Siam," 10,581","3,080",
258. Dream Hotel Bangkok," 7,959","3,882",Very affordable
259. 12th Avenue Hotel Bangkok," 5,497","1,603",Centrally located very quiet area. The rooms are well laid out and everything is functional. Good decent size clean bathrooms.Nice swimming pool with a lot of...
260. Villa Sanpakoi," 5,579",120,The staff could not be more helpful
261. The Residence on Thonglor by UHG," 5,450","1,066","Good location, friendly staff, nice room, very comfortable"
262. Siam@Siam Design Hotel Pattaya," 7,135","2,093","dinner and breakfast, excellent gym, WIFI infrastructure need upgrade."
263. Slumber Party Hostel Bangkok, 971,227,"are good people are awesome 
Drinks and food amazing ?
Slamber party  amazing pool  
Dj play hard 
When in Thailand must visit slamber party..."
264. The Sukosol Hotel," 8,988","3,285",We have stayed on a
265. Novotel Bangkok Sukhumvit 4," 9,363",449,"Khun Kook for provide me late check out on my departure date, the lady at the rooftop bar sorry i cant remember her name but on that night I went to the bar with my..."
266. Grand Mercure Bangkok Atrium," 5,935","3,242","The internet was super fast,"
267. BlueSotel SMART," 6,193",328,"... not free :), if you want quality, you have to pay but this place is worth it - for some it is excellent staff, very good cocktails, especially in happy hour :), wonderful"
268. Aloft Bangkok - Sukhumvit 11," 10,010","3,270","Centre of all busy district , can find many resto and shops nearby, Hotel provided TukTuk to Nana station so can access"
269. Dolphin Bay Resort," 5,673",582,
270. Sandalwood Luxury Villas," 149,982","1,425",pool was clean and refreshing.
271. Bo Phut Resort & Spa," 22,635","2,112","lovely bathroom, and amazing furnish, we stayed at Deluxe Garden View, was nice."
272. Villa Labaron," 18,386",148,The host of the villa was fantastic. We had fresh fruit and drinks everyday. The villa was beautiful and cleaned everyday. Lovely pool and right on the beach. The...
273. Nap Patong," 28,020","2,088","Special thanks to mam ,"
274. Tower Club At Lebua," 18,510","3,645","Best Servise ,Best Breakfast"
275. La Petite Salil Sukhumvit Thonglor 1," 4,173","1,983",Staying at La petite salil hotel thonglor1
